sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
104,"Lindenwood University Lions",25,18.2,35.8,20.7,1.139,18.2,10,8.2,55.1,55.1,0.06,6.2,55.1,18.2,10,8.2,55.1,0,0,0,,0
105,"Oregon Ducks",35,23.8,37.3,27.1,1.138,23.8,13.1,10.7,55,55,0.05,4.9,55,23.8,13.1,10.7,55,0,0,0,,0
106,"San Diego State Aztecs",34,23.6,41.4,26.8,1.137,23.6,13,10.6,55.2,55.2,0.05,5.1,55.2,23.6,13,10.6,55.2,0,0,0,,0
106,"Louisiana Tech Lady Techsters",32,20.3,37.8,23.1,1.137,20.3,11,9.3,54.2,54.2,0.07,7.2,54.2,20.3,11,9.3,54.2,0,0,0,,0
106,"Florida State Seminoles",33,27.8,41.9,31.7,1.137,27.8,15.1,12.8,54.2,54.2,0.07,7.2,54.2,27.8,15.1,12.8,54.2,0,0,0,,0
109,"Mississippi Rebels",34,21.1,33.9,24,1.136,21.1,11.5,9.6,54.6,54.6,0.07,6.8,54.6,21.1,11.5,9.6,54.6,0,0,0,,0
109,"Oral Roberts Golden Eagles",30,28.1,42,32,1.136,28.1,15.3,12.8,54.4,54.4,0.07,6.5,54.4,28.1,15.3,12.8,54.4,0,0,0,,0
109,"Michigan State Spartans",30,28.1,42.8,32,1.136,28.1,15.4,12.8,54.6,54.6,0.07,6.9,54.6,28.1,15.4,12.8,54.6,0,0,0,,0
109,"Siena Saints",32,22.3,36.1,25.4,1.136,22.3,12.3,10,55.2,55.2,0.05,5.5,55.2,22.3,12.3,10,55.2,0,0,0,,0
113,"Arizona Wildcats",32,28,43.5,31.8,1.135,28,15.3,12.7,54.7,54.7,0.06,6.1,54.7,28,15.3,12.7,54.7,0,0,0,,0
113,"Troy Trojans",30,23.2,29,26.4,1.135,23.2,12.8,10.5,54.9,54.9,0.06,6,54.9,23.2,12.8,10.5,54.9,0,0,0,,0
113,"IUPUI Jaguars",30,21.5,36.7,24.4,1.135,21.5,11.8,9.8,54.6,54.6,0.08,7.7,54.6,21.5,11.8,9.8,54.6,0,0,0,,0
116,"Clemson Tigers",35,24.7,40.6,28,1.134,24.7,13.6,11.1,55,55,0.05,4.8,55,24.7,13.6,11.1,55,0,0,0,,0
116,"Penn State Lady Lions",31,25.9,41.5,29.4,1.134,25.9,14.2,11.8,54.6,54.6,0.06,6.2,54.6,25.9,14.2,11.8,54.6,0,0,0,,0
118,"Texas Tech Lady Raiders",35,22.3,39.3,25.3,1.132,22.3,12.1,10.2,54.3,54.3,0.08,7.7,54.3,22.3,12.1,10.2,54.3,0,0,0,,0
119,"Georgia State Panthers",33,23.5,43,26.6,1.131,23.5,12.9,10.6,54.8,54.8,0.05,5,54.8,23.5,12.9,10.6,54.8,0,0,0,,0
119,"Kansas State Wildcats",36,22.7,38.7,25.6,1.131,22.7,12.3,10.3,54.4,54.4,0.07,6.6,54.4,22.7,12.3,10.3,54.4,0,0,0,,0
119,"Charlotte 49ers",31,20.3,36.1,22.9,1.131,20.3,11,9.3,54.3,54.3,0.06,6.2,54.3,20.3,11,9.3,54.3,0,0,0,,0
119,"Tennessee Tech Golden Eagles",32,21.1,36.3,23.8,1.131,21.1,11.6,9.5,54.9,54.9,0.05,5,54.9,21.1,11.6,9.5,54.9,0,0,0,,0
119,"Delaware Fightin Blue Hens",30,19.7,33.5,22.2,1.131,19.7,10.7,9,54.2,54.2,0.06,6.3,54.2,19.7,10.7,9,54.2,0,0,0,,0
124,"Nebraska-Omaha Mavericks",32,19,33.1,21.4,1.13,19,10.3,8.7,54,54,0.07,6.9,54,19,10.3,8.7,54,0,0,0,,0
125,"Texas State Bobcats",33,19,33.3,21.4,1.129,19,10.4,8.6,54.6,54.6,0.06,5.8,54.6,19,10.4,8.6,54.6,0,0,0,,0
125,"Nebraska Cornhuskers",33,22.8,37.2,25.8,1.129,22.8,12.3,10.5,53.8,53.8,0.07,6.8,53.8,22.8,12.3,10.5,53.8,0,0,0,,0
127,"Wisconsin-(Green Bay) Phoenix",34,19,32,21.4,1.127,19,10.4,8.6,54.6,54.6,0.05,4.6,54.6,19,10.4,8.6,54.6,0,0,0,,0
127,"Western Kentucky Hilltoppers",34,22.5,36.2,25.4,1.127,22.5,12.3,10.2,54.6,54.6,0.07,6.5,54.6,22.5,12.3,10.2,54.6,0,0,0,,0
129,"Chattanooga Mocs",33,20.3,39.3,22.9,1.125,20.3,10.8,9.5,53.4,53.4,0.07,7.5,53.4,20.3,10.8,9.5,53.4,0,0,0,,0
129,"McNeese State Cowgirls",31,24.5,42.8,27.6,1.125,24.5,13.3,11.2,54.2,54.2,0.06,5.9,54.2,24.5,13.3,11.2,54.2,0,0,0,,0
129,"Saint Louis Billikens",36,25.4,39.3,28.5,1.125,25.4,13.8,11.6,54.4,54.4,0.04,4.4,54.4,25.4,13.8,11.6,54.4,0,0,0,,0
129,"Gonzaga Bulldogs",33,21.6,37,24.3,1.125,21.6,11.8,9.8,54.5,54.5,0.05,5.2,54.5,21.6,11.8,9.8,54.5,0,0,0,,0
129,"Richmond Spiders",32,25.6,45,28.8,1.125,25.6,13.8,11.8,54,54,0.05,5.4,54,25.6,13.8,11.8,54,0,0,0,,0
134,"St. Thomas (MN) Tommies",30,23.1,41.1,26,1.124,23.1,12.6,10.5,54.4,54.4,0.05,5.1,54.4,23.1,12.6,10.5,54.4,0,0,0,,0
135,"Duke Blue Devils",33,21.2,36.5,23.8,1.123,21.2,11.6,9.6,54.8,54.8,0.04,4.4,54.8,21.2,11.6,9.6,54.8,0,0,0,,0
135,"Pennsylvania Quakers",29,18,30.6,20.2,1.123,18,9.8,8.2,54.6,54.6,0.06,6.1,54.6,18,9.8,8.2,54.6,0,0,0,,0
137,"Montana State Bobcats",31,21,34.3,23.5,1.12,21,11.3,9.7,53.8,53.8,0.06,5.5,53.8,21,11.3,9.7,53.8,0,0,0,,0
137,"Southern Illinois Salukis",31,28.8,44.2,32.2,1.12,28.8,15.5,13.3,53.9,53.9,0.07,6.6,53.9,28.8,15.5,13.3,53.9,0,0,0,,0
137,"Georgia Tech Yellow Jackets",30,19.2,32.6,21.5,1.12,19.2,10.4,8.9,53.9,53.9,0.06,5.7,53.9,19.2,10.4,8.9,53.9,0,0,0,,0
140,"UAB Blazers",31,25.4,43.9,28.5,1.119,25.4,13.6,11.8,53.4,53.4,0.06,6.5,53.4,25.4,13.6,11.8,53.4,0,0,0,,0
140,"Colorado Buffaloes",34,28.7,48.2,32.1,1.119,28.7,15.7,13,54.8,54.8,0.05,4.7,54.8,28.7,15.7,13,54.8,0,0,0,,0
140,"UTEP Miners",32,26.6,45.3,29.8,1.119,26.6,14.2,12.4,53.4,53.4,0.08,7.9,53.4,26.6,14.2,12.4,53.4,0,0,0,,0
143,"Gardner-Webb Runnin Bulldogs",34,24.8,38.9,27.8,1.118,24.8,13.4,11.4,54.1,54.1,0.05,5.2,54.1,24.8,13.4,11.4,54.1,0,0,0,,0
