sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
37,"Purdue Boilermakers",30,79.1,100,70.2,0.887,57.9,25.8,32.1,44.6,50.7,18.5,10.3,0.26,7.6,40.5,36.1,18.7,17.4,51.8,21.7,7.1,14.6,32.7,0.38
37,"IUPUI Jaguars",30,80.6,100,71.4,0.887,58.6,25.2,33.5,42.9,50.1,17.7,11.9,0.3,9.8,39.9,34.1,16.7,17.3,49.1,24.6,8.4,16.1,34.3,0.42
37,"Wyoming Cowgirls",33,73.5,100,65.1,0.887,54.4,24.1,30.2,44.4,50,17.4,10.4,0.26,7.9,40.8,35.2,18,17.2,51.1,19.2,6.2,13.1,32,0.35
40,"Alabama Crimson Tide",31,79.1,100,70.1,0.886,57.3,25.1,32.2,43.8,51.7,19.1,10.4,0.26,8.4,39.3,33.7,16.1,17.7,47.6,23.6,9.1,14.5,38.4,0.41
40,"Bowling Green Falcons",38,86.2,100,76.4,0.886,66,28.6,37.4,43.3,48.6,14.5,10.6,0.26,7.6,41.5,44.7,21.6,23.1,48.4,21.3,7,14.3,32.7,0.32
42,"Florida State Seminoles",33,89.2,100,78.9,0.884,66.5,27.9,38.5,42,47.2,14.7,13.5,0.33,10.8,41.3,44.5,21,23.5,47.1,21.9,6.9,15,31.6,0.33
42,"Wisconsin-(Green Bay) Phoenix",34,76.6,100,67.7,0.884,59.4,25.1,34.3,42.3,48.1,14.4,9.3,0.22,6.5,40.2,38,18.1,19.8,47.8,21.5,7,14.5,32.5,0.36
44,"Kent State Golden Flashes",32,79,100,69.8,0.883,60,24.9,35.1,41.5,48.4,15.3,10.6,0.25,8.2,39.5,35.7,16.6,19.1,46.5,24.3,8.3,16,34.2,0.4
44,"Liberty Flames",33,79.1,100,69.8,0.883,58.2,26.4,31.8,45.3,51.2,18.4,10.3,0.25,8.4,40.8,38.3,19.6,18.7,51.1,19.9,6.8,13.1,34.1,0.34
44,"Murray State Racers",31,77.4,100,68.4,0.883,57,24.3,32.7,42.7,49.1,17.2,11,0.28,9.3,40,35.8,17,18.9,47.3,21.2,7.4,13.8,34.8,0.37
