Date,Opponent,Result,Attendance,GameID
01/06/2024,"('Queens (NC)', '/teams/561260')",W 61-42,"('684', None)",3977086
01/11/2024,"('North Florida', '/teams/560548')",W 52-43,"('506', None)",3977849
01/13/2024,"('Jacksonville', '/teams/560825')",W 59-57,"('629', None)",3978396
01/18/2024,"('@ Stetson', '/teams/561128')",W 63-48,"('296', None)",3978879
01/20/2024,"('@ FGCU', '/teams/560561')",L 65-93,"('1,734', None)",3979490
01/24/2024,"('@ North Ala.', '/teams/560572')",L 60-79,"('1,032', None)",3979770
01/27/2024,"('Central Ark.', '/teams/561240')",L 60-67,"('794', None)",3980107
02/01/2024,"('Austin Peay', '/teams/560605')",L 50-61,"('472', None)",3980893
02/03/2024,"('Lipscomb', '/teams/560559')",W 62-59,"('757', None)",3981433
02/08/2024,"('@ Bellarmine', '/teams/561171')",W 85-75,"('514', None)",3981994
02/10/2024,"('@ Eastern Ky.', '/teams/560737')",L 66-69,"('781', None)",3982500
02/15/2024,"('FGCU', '/teams/560561')",L 42-77,"('739', None)",3982995
02/17/2024,"('Stetson', '/teams/561128')",L 54-64,"('812', None)",3983107
02/22/2024,"('@ Jacksonville', '/teams/560825')",L 59-70,"('245', None)",3983739
02/24/2024,"('@ North Florida', '/teams/560548')",L 84-91 (2 OT),"('335', None)",3983927
03/02/2024,"('@ Queens (NC)', '/teams/561260')",W 81-50,"('230', None)",3984502
03/08/2024,"('@#7 Austin Peay 23-24 WBB ASUN Tournament', '/teams/560605')",L 60-73,"('91', None)",5250018
11/06/2023,"('@ Kansas St.', '/teams/560829')",L 35-69,"('2,868', None)",3970289
11/08/2023,"('@ Wichita St.', '/teams/561219')",L 41-60,"('2,835', None)",3970358
11/11/2023,"('Johnson C. Smith', '/teams/561716')",W 76-40,"('150', None)",3970966
11/15/2023,"(""Columbia Int'l"", None)",W 95-43,"('237', None)",3971562
11/19/2023,"('ETSU', '/teams/560730')",L 56-72,"('316', None)",3972261
11/22/2023,"('@ UNCW', '/teams/560932')",W 64-51,"('558', None)",3972630
11/25/2023,"('Morehead St.', '/teams/560916')",W 65-59,"('237', None)",3972932
11/29/2023,"('N.C. Central', '/teams/560960')",W 76-58,"('507', None)",3973328
12/02/2023,"('@ Western Caro.', '/teams/561211')",W 60-41,"('436', None)",3974029
12/06/2023,"('@ Queens (NC)', '/teams/561260')",W 68-60,"('104', None)",3974423
12/15/2023,"('South Carolina St.', '/teams/561085')",W 63-52,"('90', None)",3975277
12/16/2023,"('@ South Carolina', '/teams/561087')",L 29-99,"('15,176', None)",3975378
12/21/2023,"('Eastern Wash. @Las Vegas, NV (23-24 WBB Holiday Hoops Classic)', '/teams/560741')",L 51-92,"('50', None)",3976012
12/22/2023,"('Wright St. @Las Vegas, NV (23-24 WBB Holiday Hoops Classic)', '/teams/561231')",L 61-66,"('50', None)",3976031
12/31/2023,"('Columbia (SC)', None)",W 63-52,"('245', None)",3976529
01/03/2024,"('Charleston So.', '/teams/560609')",L 57-61,"('194', None)",3976775
01/06/2024,"('@ UNC Asheville', '/teams/560925')",W 55-46,"('235', None)",3977344
01/10/2024,"('@ Winthrop', '/teams/561223')",W 59-43,"('285', None)",3977727
01/13/2024,"('Gardner-Webb', '/teams/561246')",L 58-72,"('303', None)",3978343
01/17/2024,"('@ High Point', '/teams/560554')",L 55-76,"('1,038', None)",3978782
01/20/2024,"('Longwood', '/teams/560848')",W 69-66,"('289', None)",3979351
01/27/2024,"('@ Radford', '/teams/561037')",L 40-65,"('841', None)",3980315
01/31/2024,"('@ USC Upstate', '/teams/560551')",L 58-62,"('215', None)",3980689
02/03/2024,"('High Point', '/teams/560554')",L 59-64,"('352', None)",3981380
02/07/2024,"('@ Gardner-Webb', '/teams/561246')",L 57-86,"('157', None)",3981824
02/10/2024,"('Radford', '/teams/561037')",W 57-50,"('375', None)",3982395
02/14/2024,"('UNC Asheville', '/teams/560925')",W 59-42,"('434', None)",3982794
02/17/2024,"('@ Longwood', '/teams/560848')",W 67-52,"('1,015', None)",3983096
02/21/2024,"('Winthrop', '/teams/561223')",W 62-40,"('273', None)",3983629
02/28/2024,"('USC Upstate', '/teams/560551')",W 47-43,"('406', None)",3984201
03/02/2024,"('@ Charleston So.', '/teams/560609')",L 49-68,"('207', None)",3984524
03/07/2024,"('#4 Charleston So. @High Point, NC (23-24 WBB Big South Tournament)', '/teams/560609')",W 54-51,"('1,529', None)",5249224
03/09/2024,"('@#1 High Point 23-24 WBB Big South Tournament', '/teams/560554')",W 59-50,"('1,528', None)",5249221
03/10/2024,"('#3 Radford @High Point, NC (23-24 WBB Big South Tournament)', '/teams/561037')",W 60-37,"('756', None)",5249220
03/20/2024,"('#16 Sacred Heart @Columbia, SC (23-24 WBB NCAA Division I Tournament)', '/teams/561051')",W 49-42,"('1,196', None)",5254157
03/22/2024,"('@#1 South Carolina 23-24 WBB NCAA Division I Tournament', '/teams/561087')",L 39-91,"('11,536', None)",5254158
11/09/2023,"('@ CSUN', '/teams/560650')",L 72-81 (1 OT),"('227', None)",3970509
11/11/2023,"('@ UC Irvine', '/teams/560660')",L 43-74,"('647', None)",3970945
11/14/2023,"('Portland', '/teams/561023')",L 61-89,"('342', None)",3971289
11/18/2023,"('@ Washington', '/teams/561205')",L 64-80,"('2,560', None)",3971852
11/21/2023,"('Cal Poly', '/teams/560640')",L 43-68,"('295', None)",3972346
