,poss,1,-1,2,-2,3,-3,4,-4,5,-5,6,-6,7,-7,8,-8,9,-9,10,-10,11,-11,12,-12,13,-13,14,-14,15,-15,16,-16,17,-17,18,-18,19,-19
Anaelle Dutat,30.5,,,1.0,,3.0,11.0,6.0,6.0,11.0,5.0,2.0,1.0,8.0,3.0,4.0,6.0,12.0,8.0,25.0,25.0,,1.0,5.0,1.0,4.0,8.0,,,26.0,19.0,26.0,19.0,1.0,3.0,12.0,6.0,2.0,1.0
Nalyce Dudley,7.0,,,,3.0,4.0,,3.0,1.0,,3.0,,,,1.0,4.0,1.0,1.0,4.0,7.0,7.0,,,1.0,2.0,2.0,2.0,,,7.0,8.0,7.0,8.0,1.0,,,4.0,1.0,1.0
Emma Kirby,29.0,,,,4.0,6.0,4.0,7.0,4.0,5.0,12.0,2.0,3.0,4.0,9.0,5.0,4.0,7.0,9.0,19.0,19.0,,,1.0,6.0,7.0,2.0,,,10.0,16.0,10.0,16.0,4.0,1.0,6.0,13.0,1.0,3.0
Faith Pappas,21.5,,,,,3.0,6.0,4.0,4.0,4.0,7.0,1.0,3.0,2.0,8.0,1.0,4.0,6.0,7.0,18.0,18.0,,,,5.0,6.0,,1.0,,14.0,12.0,14.0,12.0,3.0,2.0,4.0,9.0,1.0,
Thai Davis,13.0,,,,,1.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,,3.0,2.0,4.0,13.0,13.0,,,,1.0,2.0,,,,8.0,10.0,8.0,10.0,3.0,1.0,2.0,10.0,1.0,
Eva DeChent,15.5,,,1.0,,1.0,2.0,3.0,2.0,7.0,3.0,2.0,1.0,6.0,1.0,3.0,1.0,4.0,3.0,14.0,14.0,,,2.0,,,3.0,,,10.0,4.0,10.0,4.0,,4.0,8.0,5.0,2.0,1.0
Afia Owusu-Mensah,15.5,,,,,1.0,5.0,3.0,4.0,3.0,5.0,1.0,1.0,1.0,6.0,,3.0,5.0,5.0,10.0,10.0,,,,2.0,3.0,,,,6.0,7.0,6.0,7.0,3.0,1.0,4.0,7.0,1.0,
Sophie Sene,6.5,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1.0,,2.0,1.0,6.0,6.0,,,,,,,,,3.0,2.0,3.0,2.0,,2.0,6.0,1.0,,1.0
Katie Ledden,6.5,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,1.0,,2.0,1.0,6.0,6.0,,,,,,,,,3.0,2.0,3.0,2.0,,2.0,6.0,1.0,,1.0
Montana Hicks,5.0,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,3.0,3.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,4.0,,
Brooke Anya,37.5,1.0,1.0,2.0,,12.0,18.0,4.0,4.0,10.0,12.0,1.0,5.0,5.0,5.0,4.0,9.0,13.0,16.0,17.0,17.0,,1.0,3.0,5.0,9.0,6.0,1.0,1.0,23.0,21.0,23.0,21.0,1.0,2.0,3.0,4.0,4.0,
Sorelle Ineza,52.0,1.0,1.0,2.0,2.0,18.0,21.0,6.0,6.0,12.0,14.0,4.0,6.0,7.0,9.0,2.0,10.0,17.0,25.0,22.0,22.0,2.0,1.0,5.0,6.0,10.0,10.0,2.0,1.0,34.0,30.0,34.0,30.0,2.0,3.0,3.0,7.0,3.0,
