#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
2.0,Jada Brown,G,12:44,,1,2,0,0,2,2,4,1,0,1,0,0,0,0,3,0,0,591940,591659,5734777
4.0,Madison Greene,G,28:25,,6,10,0,1,2,2,14,0,5,5,4,4,6,0,2,0,0,591940,591659,5734777
24.0,Aga Makurat,G,18:13,,1,8,1,5,0,0,3,1,3,4,0,1,0,0,1,0,0,591940,591659,5734777
14.0,Aiyana Mitchell,F,11:58,,3,4,0,0,2,5,8,1,1,2,0,0,0,1,0,0,0,591940,591659,5734777
23.0,Iyana Moore,G,27:18,,6,12,2,4,1,1,15,3,3,6,1,1,1,0,1,0,0,591940,591659,5734777
10.0,Jane Nwaba,F,22:39,,3,4,0,0,0,0,6,1,5,6,3,1,1,0,2,0,0,591940,591659,5734777
11.0,Jordyn Oliver,G,19:02,,1,2,0,0,0,0,2,3,1,4,2,2,0,0,1,0,0,591940,591659,5734777
12.0,Khamil Pierre,F,23:39,,12,17,0,0,1,1,25,6,8,14,1,2,5,0,4,0,0,591940,591659,5734777
30.0,Trinity Wilson,F,10:31,,1,4,0,0,0,0,2,2,3,5,1,1,0,0,1,0,0,591940,591659,5734777
2.0,Elena Bertrand,G,25:49,,6,11,2,3,2,5,16,0,2,2,0,4,2,0,1,0,0,591659,591940,5734777
32.0,Taylor Bowen,F,18:40,,0,4,0,4,0,0,0,1,3,4,0,0,0,0,1,0,0,591659,591940,5734777
14.0,Ainhoa Cea,G,20:48,,1,3,0,1,1,2,3,2,1,3,1,6,0,0,1,0,0,591659,591940,5734777
3.0,Molly Heard,G,13:07,,4,10,1,4,0,0,9,3,1,4,0,1,1,0,2,0,0,591659,591940,5734777
23.0,Jalyn Holcomb,G,22:13,,0,7,0,7,2,2,2,0,2,2,1,2,1,0,2,0,0,591659,591940,5734777
1.0,Claira McGowan,G,20:55,,3,8,0,2,2,4,8,3,1,4,1,2,2,0,2,0,0,591659,591940,5734777
22.0,Addison Melton,G,21:52,,2,9,2,7,2,2,8,1,1,2,0,1,0,1,2,0,0,591659,591940,5734777
31.0,Isabella Pitta,C,15:20,,0,0,0,0,1,2,1,1,1,2,0,1,0,1,1,0,0,591659,591940,5734777
0.0,Olivia Vandergriff,G,19:38,,0,2,0,2,0,0,0,1,2,3,1,1,0,0,2,0,0,591659,591940,5734777
21.0,Bella Vinson,G,21:38,,1,7,1,5,0,0,3,2,1,3,2,2,0,0,1,0,0,591659,591940,5734777
23.0,Reagan Barkema,F,24:45,,3,7,3,6,3,5,12,0,0,0,0,0,0,1,4,0,0,591849,591909,5729032
12.0,Shannon Blacher,G,2:24,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,591849,591909,5729032
41.0,Brooke Blumenfeld,F,17:51,,1,5,0,0,0,0,2,1,1,2,0,4,0,0,2,0,0,591849,591909,5729032
20.0,Lexi Carlsen,G,7:40,,1,4,1,3,0,0,3,1,2,3,0,0,0,0,1,0,0,591849,591909,5729032
