,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
11,,Hampton,,200:00,1,25,63,1,10,7,12,58,9,21,30,11,15,13,3,21,2,0,560779,561221,3984072
10,,UNCW,,200:00,1,20,60,2,10,8,14,50,15,26,41,3,22,7,3,14,0,0,560932,561221,3984360
13,,William & Mary,,200:00,1,27,68,4,18,10,14,68,16,28,44,13,12,13,2,14,0,0,561221,560932,3984360
13,,William & Mary,,200:00,1,26,67,7,27,9,12,68,11,28,39,16,19,5,6,26,0,0,561221,561130,3984701
11,,Stony Brook,,200:00,1,26,59,4,17,18,24,74,8,31,39,10,15,14,2,15,0,0,561130,561221,3984701
11,,William & Mary,,200:00,1,18,57,4,17,13,18,53,12,18,30,14,12,11,6,19,0,0,561221,560788,5250665
10,,Hofstra,,200:00,1,19,44,5,18,14,19,57,9,30,39,9,21,6,4,17,0,1,560788,561221,5250665
13,,Clemson,,200:00,1,26,59,4,22,15,22,71,15,26,41,15,15,10,0,8,0,0,560679,561223,3970224
13,,Winthrop,,200:00,1,18,57,2,15,3,3,41,13,21,34,6,22,7,2,21,0,0,561223,560679,3970224
12,,Alabama,,200:00,1,29,65,7,27,14,23,79,17,21,38,9,12,11,7,10,0,0,560582,561223,3970545
12,,Winthrop,,200:00,1,18,45,7,17,7,12,50,7,23,30,11,28,3,2,23,0,0,561223,560582,3970545
12,,South Carolina St.,,200:00,0,15,49,5,19,10,18,45,14,21,35,11,22,9,3,16,0,0,561085,561223,3972050
12,,Winthrop,,200:00,0,19,50,6,21,10,17,54,10,24,34,12,20,11,0,16,1,0,561223,561085,3972050
12,,Texas A&M,,200:00,1,32,67,8,22,12,23,84,13,38,51,20,11,9,5,10,0,0,561146,561223,3972691
13,,Winthrop,,199:59,1,14,60,0,15,4,11,32,12,25,37,7,19,6,4,20,0,0,561223,561146,3972691
10,,San Jose St.,,200:00,1,17,49,10,26,5,6,49,11,22,33,15,26,9,2,22,1,0,561075,561223,3972813
10,,Winthrop,,200:00,1,18,54,4,24,16,20,56,17,21,38,10,21,13,3,11,0,0,561223,561075,3972813
13,,Winthrop,,225:00,1,22,74,1,17,13,21,58,16,24,40,10,19,17,3,20,0,0,561223,560932,3973394
9,,UNCW,,225:00,1,20,59,5,18,21,25,66,16,39,55,10,31,10,7,20,1,0,560932,561223,3973394
9,,Winthrop,,200:00,1,22,44,6,18,15,16,65,9,17,26,14,24,8,2,13,0,0,561223,560770,3975210
12,,Georgia St.,,200:00,1,23,47,8,21,6,6,60,7,13,20,14,25,7,3,22,1,0,560770,561223,3975210
10,,North Florida,,200:00,1,19,50,7,22,10,15,55,9,22,31,9,14,6,1,16,0,0,560548,561223,3975851
10,,Winthrop,,200:00,1,18,50,6,15,7,11,49,7,23,30,9,17,4,2,22,0,0,561223,560548,3975851
13,,Florida,,200:00,1,28,54,6,19,11,13,73,11,24,35,10,18,11,2,16,0,0,560757,561223,3976405
14,,Winthrop,,200:00,1,13,47,1,10,9,16,36,13,16,29,3,25,7,0,15,0,0,561223,560757,3976405
10,,Longwood,,200:00,1,19,49,5,23,10,18,53,9,27,36,11,26,10,0,21,0,0,560848,561223,3976826
10,,Winthrop,,200:00,1,17,58,4,25,20,25,58,15,24,39,10,20,13,1,18,0,0,561223,560848,3976826
10,,Winthrop,,200:00,1,18,55,5,22,10,14,51,12,24,36,8,18,13,4,16,0,0,561223,560551,3977287
8,,USC Upstate,,200:00,1,16,43,5,17,15,19,52,5,27,32,7,22,6,1,18,1,0,560551,561223,3977287
